is_spammer,id,name,verified,followers_count,follow_count,post_count,favourites_count,bi_followers_count,user_ability,followRatio,friendRatio
0,2489348004,卡梅尼特斯,0,802,892,63,5,644,2097158,1.11,0.72
1,6578876141,以爱之名9479,0,2,418,0,0,0,0,139.33,0.00
1,5966314779,潇泽雨,0,27,130,2,0,0,0,4.64,0.00
1,5790996057,用户5790996057,0,1,130,0,0,0,0,65.00,0.00
1,5148492076,用户w9dpf9h19u,0,1,139,0,0,0,0,69.50,0.00
1,6031195424,芊亦晨,0,1,146,0,0,0,0,73.00,0.00
1,5629881841,1QBKiY_375,0,1,103,0,0,0,0,51.50,0.00
1,5290434213,不敢用大号的一个人,0,3,151,0,0,0,0,37.75,0.00
1,7156975160,风雪沁梦47739,0,1,677,0,0,0,0,338.50,0.00
1,7156975144,末是一个字,0,1,21,0,0,0,0,10.50,0.00
0,1734270610,布小丁不小,0,294,357,1136,1196,71,33554432,1.21,0.20
1,6130198683,用户6130198683,0,18,124,0,0,0,0,6.53,0.00
1,1877177227,策士统领丶盖伦,0,14,59,6,1,1,0,3.93,0.02
1,6413063314,浪漫的Magic527,0,1,71,0,0,0,0,35.50,0.00
1,6147273743,亚琼2005,0,16,203,1,0,0,0,11.94,0.00
1,7078222076,无言3452420110,0,1,61,0,0,0,0,30.50,0.00
1,6546034098,往后余生奋斗一生,0,2,229,1,0,0,0,76.33,0.00
1,7157903835,i爆爆梨,0,1,23,0,0,0,0,11.50,0.00
